记录时间：2015-11-29 22:35:38,230 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 22:35:53,278 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P01_参考信号接收功率.csv】成功
记录时间：2015-11-29 22:35:53,282 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P02_参考信号接收质量.csv】成功
记录时间：2015-11-29 22:35:53,290 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P03_时间提前量.csv】成功
记录时间：2015-11-29 22:35:53,301 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P04_UE发射功率余量.csv】成功
记录时间：2015-11-29 22:35:53,309 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P05_ENB接收干扰功率.csv】成功
记录时间：2015-11-29 22:35:53,319 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P06_ENB天线到达角.csv】成功
记录时间：2015-11-29 22:35:53,331 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P07_上行丢包率.csv】成功
记录时间：2015-11-29 22:35:53,357 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P08_下行丢包率.csv】成功
记录时间：2015-11-29 22:35:53,369 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P09_上行信噪比.csv】成功
记录时间：2015-11-29 22:35:53,380 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\广东省_LTE-P13_eNB收发时间差.csv】成功
记录时间：2015-11-29 22:35:53,398 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129223553\汇总.csv】成功
记录时间：2015-11-29 22:35:53,412 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件成功
-----------程序结束运行----------------------程序开始运行-----------记录时间：2015-11-29 22:38:05,553 线程ID:[9] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
记录时间：2015-11-29 22:38:05,612 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 22:38:06,620 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 22:38:06,822 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:38:07,234 线程ID:[MRS] 日志级别：ERROR 出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[195458]的文件列表获取失败:线程间操作无效: 从不是创建控件“progressBarEx2”的线程访问它。
记录时间：2015-11-29 22:38:07,436 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:38:07,838 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
-----------程序开始运行-----------记录时间：2015-11-29 22:44:01,517 线程ID:[8] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
记录时间：2015-11-29 22:44:01,576 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 22:44:02,585 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 22:44:02,787 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:44:03,195 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 22:44:03,205 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[195458]下载文件完成
记录时间：2015-11-29 22:44:03,407 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:44:03,813 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 22:44:03,824 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 22:44:34,398 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P01_参考信号接收功率.csv】成功
记录时间：2015-11-29 22:44:34,403 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P02_参考信号接收质量.csv】成功
记录时间：2015-11-29 22:44:34,418 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P03_时间提前量.csv】成功
记录时间：2015-11-29 22:44:34,450 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P04_UE发射功率余量.csv】成功
记录时间：2015-11-29 22:44:34,466 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P05_ENB接收干扰功率.csv】成功
记录时间：2015-11-29 22:44:34,482 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P06_ENB天线到达角.csv】成功
记录时间：2015-11-29 22:44:34,503 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P07_上行丢包率.csv】成功
记录时间：2015-11-29 22:44:34,526 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P08_下行丢包率.csv】成功
记录时间：2015-11-29 22:44:34,542 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P09_上行信噪比.csv】成功
记录时间：2015-11-29 22:44:34,555 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\广东省_LTE-P13_eNB收发时间差.csv】成功
记录时间：2015-11-29 22:44:34,569 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129224434\汇总.csv】成功
记录时间：2015-11-29 22:44:34,582 线程ID:[12] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件成功
-----------程序开始运行-----------记录时间：2015-11-29 22:53:09,557 线程ID:[9] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：开始解析...
记录时间：2015-11-29 22:53:09,614 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始连接
记录时间：2015-11-29 22:53:10,621 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]连接成功
记录时间：2015-11-29 22:53:10,823 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:53:11,231 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 22:53:11,240 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[195458]下载文件完成
记录时间：2015-11-29 22:53:11,441 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始获取文件列表
记录时间：2015-11-29 22:53:11,845 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：FTP[127.0.0.1]开始下载文件
记录时间：2015-11-29 22:53:11,856 线程ID:[MRS] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：站点[679449]下载文件完成
记录时间：2015-11-29 22:53:42,449 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P01_参考信号接收功率.csv】成功
记录时间：2015-11-29 22:53:42,453 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P02_参考信号接收质量.csv】成功
记录时间：2015-11-29 22:53:42,463 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P03_时间提前量.csv】成功
记录时间：2015-11-29 22:53:42,473 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P04_UE发射功率余量.csv】成功
记录时间：2015-11-29 22:53:42,482 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P05_ENB接收干扰功率.csv】成功
记录时间：2015-11-29 22:53:42,492 线程ID:[13] 日志级别：INFO  出错类：MRAnalysis.AnalysisMrs property:[(null)] - 错误描述：导出文件【C:\OutPut\20151129225342\广东省_LTE-P06_ENB天线到达角.csv】成功
